Description,PROV,CLIMATE ID,THREE LETTER ID
TOFINO A,BC,1038204,YAZ
TOFINO A,BC,1038210,YAZ
POWELL RIVER A,BC,1046395,YPW
POWELL RIVER A,BC,1046396,YPW
WHISTLER,BC,1048898,WAE
WHISTLER A,BC,1048899,WAE
MASSET A,BC,1054921,ZMT
MASSET A,BC,1054929,ZMT
SANDSPIT,BC,1057052,YZP
BELLA BELLA,BC,1060815,BBC
BELLA COOLA A,BC,1060845,YBD
BELLA COOLA A,BC,1060848,YBD
PRINCE RUPERT,BC,1066482,YPR
STEWART A,BC,1067741,ZST
STEWART A,BC,1067748,ZST
TERRACE A,BC,1068134,YXT
SMITHERS A,BC,1077498,YYD
SMITHERS,BC,1077499,YYD
PRINCE GEORGE,BC,1096439,YXS
QUESNEL,BC,1096629,YQZ
WILLIAMS LAKE A,BC,1098941,YWL
ABBOTSFORD A,BC,1100031,YXX
VANCOUVER INTL A,BC,1108395,YVR
HOPE A,BC,1113542,YHE
HOPE SLIDE A,BC,1113582,WKV
LYTTON,BC,1114738,WLY
KELOWNA,BC,1123939,YLW
PENTICTON A,BC,1126146,YYF
PRINCETON A,BC,1126510,YDC
PRINCETON A,BC,1126511,YDC
PRINCETON A,BC,1126518,YDC
CASTLEGAR A,BC,1141456,YCG
CASTLEGAR A,BC,1141460,YCG
CRANBROOK A,BC,1152105,YXC
SPARWOOD A,BC,1157632,WSW
SPARWOOD A,BC,1157635,WSW
BLUE RIVER A,BC,1160898,YCP
BLUE RIVER A,BC,1160902,YCP
CLINTON (AUT),BC,1161661,WCL
CLINTON,BC,1161662,YIN
KAMLOOPS A,BC,1163781,YKA
GOLDEN A,BC,1173209,YGE
GOLDEN A,BC,1173214,YGE
REVELSTOKE A,BC,1176745,YRV
CHETWYND A,BC,1181507,YCQ
CHETWYND A,BC,1181513,YCQ
DAWSON CREEK A,BC,1182289,YDQ
FORT ST. JOHN A,BC,1183001,YXJ
MACKENZIE,BC,1184791,YZY
SIKANNI CHIEF,BC,1187336,WKS
DEASE LAKE A,BC,1192341,YDL
FORT NELSON A,BC,1192946,YYE
MUNCHO LAKE A,BC,1195251,WWQ
TETSA RIVER A,BC,1195800,WTH
BRANDON A,MB,5010481,YBR
PORTAGE SOUTHPORT A,MB,5012320,YPG
WINNIPEG INTL A,MB,5023227,YWG
BERENS RIVER A,MB,5030201,YBV
BERENS RIVER A,MB,5030204,YBV
DAUPHIN,MB,5040689,YDN
FLIN FLON A,MB,5050961,YFO
FLIN FLON A,MB,5050973,YFO
THE PAS A,MB,5052881,YQD
